cod,nome,plan,legis,saude,meioamb,polgen,pop,ida
130060,BENJAMIN CONSTANT,10,-1,3,-4,-25,37564,-17
130063,BERURI,2,-3,7,4,-14,17332,-4
130068,BOA VISTA DO RAMOS,-1,1,7,1,-10,16820,-2
130070,BOCA DO ACRE,-1,0,5,-3,-6,32792,-5
130080,BORBA,14,-2,7,-2,-10,38073,7
130083,CAAPIRANGA,-2,-5,-1,1,-6,12004,-13
130090,CANUTAMA,-2,-3,1,0,-11,14754,-15
130100,CARAUARI,-2,-6,3,6,-6,27405,-5
130110,CAREIRO,12,8,7,7,-4,35431,30
130115,CAREIRO DA VARZEA,10,-7,3,3,-21,26722,-12
130120,COARI,2,-2,7,-1,34,81325,40
130130,CODAJAS,-2,-9,5,-6,-8,25696,-20
130140,EIRUNEPE,-2,12,1,2,-8,33127,5
130150,ENVIRA,-1,-9,3,-4,-1,18051,-12
130160,FONTE BOA,14,-4,9,-4,-11,21859,4
130165,GUAJARA,10,-5,3,5,-13,15291,0
130170,HUMAITA,-2,-4,5,2,-8,49137,-7
130180,IPIXUNA,-2,-5,3,5,-8,25362,-7
130185,IRANDUBA,12,12,5,3,0,44503,32
130190,ITACOATIARA,-2,12,7,3,-6,94278,14
130195,ITAMARATI,-2,-9,7,-8,-13,8232,-25
130200,ITAPIRANGA,4,2,5,-4,-7,8774,0
130210,JAPURA,14,0,1,-3,-23,6083,-11
130220,JURUA,14,-1,7,-3,-3,12408,14
130230,JUTAI,12,2,1,-3,-12,17376,0
130240,LABREA,-2,10,3,-1,-14,41600,-4
130250,MANACAPURU,-2,2,5,6,15,91795,26
130255,MANAQUIRI,-4,0,-1,-2,-4,26530,-11
130260,MANAUS,14,12,3,20,12,1982179,61
130270,MANICORE,-2,0,3,0,-6,51331,-5
130280,MARAA,12,-3,1,4,-15,18310,-1
130290,MAUES,12,-2,3,3,-10,57663,6
130300,NHAMUNDA,0,-3,1,4,-14,19792,-12
130310,NOVA OLINDA DO NORTE,10,4,7,1,-1,33829,21
130320,NOVO AIRAO,4,12,-1,-4,-8,16719,3
