cod,2012,sexo,idade,escolaridade,partido,regiao,cidade
317100,Não,Masculino,66, superior cpt.,PHS,Sudeste,VAZANTE
317103,Não,Masculino,56, superior incpt.,PP,Sudeste,VERDELANDIA
317107,Não,Masculino,45, fundamental cpt.,PSD,Sudeste,VEREDINHA
317110,Não,Masculino,56, fundamental incpt.,PSDB,Sudeste,VERISSIMO
317115,Não,Masculino,63, médio cpt.,PSDB,Sudeste,VERMELHO NOVO
317120,Sim,Masculino,66, superior cpt.,PMDB,Sudeste,VESPASIANO
317130,Sim,Masculino,64, superior cpt.,PR,Sudeste,VICOSA
317140,Sim,Masculino,36, fundamental incpt.,PT,Sudeste,VIEIRAS
317150,Não,Feminino,31, superior cpt.,PSC,Sudeste,MATHIAS LOBATO
317160,Não,Masculino,38, superior cpt.,PT,Sudeste,VIRGEM DA LAPA
317170,Sim,Masculino,39, superior cpt.,PMDB,Sudeste,VIRGINIA
317180,Não,Masculino,38, superior cpt.,PSDB,Sudeste,VIRGINOPOLIS
317190,Não,Masculino,46, médio cpt.,PMDB,Sudeste,VIRGOLANDIA
317200,Não,Masculino,56, superior cpt.,PT,Sudeste,VISCONDE DO RIO BRANCO
317210,Não,Feminino,45, médio cpt.,PSDB,Sudeste,VOLTA GRANDE
317220,Não,Masculino,53, superior cpt.,PTB,Sudeste,WENCESLAU BRAZ
320010,Sim,Masculino,52, superior incpt.,PSB,Sudeste,AFONSO CLAUDIO
320013,Não,Feminino,65,Pós-graduação,PMDB,Sudeste,AGUIA BRANCA
320016,Não,Masculino,32, médio cpt.,PMDB,Sudeste,AGUA DOCE DO NORTE
320020,Não,Masculino,75, superior cpt.,PMDB,Sudeste,ALEGRE
320030,Não,Masculino,58,Pós-graduação,PSB,Sudeste,ALFREDO CHAVES
320035,Não,Feminino,29,Pós-graduação,PDT,Sudeste,ALTO RIO NOVO
320040,Não,Masculino,54,Pós-graduação,PTB,Sudeste,ANCHIETA
320050,Sim,Masculino,50, superior incpt.,PRP,Sudeste,APIACA
320060,Não,Masculino,42, médio cpt.,PDT,Sudeste,ARACRUZ
320070,Sim,Masculino,64, fundamental incpt.,DEM,Sudeste,ATILIO VIVACQUA
320080,Não,Masculino,36, superior cpt.,PC do B,Sudeste,BAIXO GUANDU
320090,Não,Masculino,41,Pós-graduação,DEM,Sudeste,BARRA DE SAO FRANCISCO
320100,Sim,Masculino,42, superior cpt.,PMDB,Sudeste,BOA ESPERANCA
